action,object,index,info,date,time
NODE_CREATE,Concentration of Na+ and Cl- in water,3,N/A,8/8/2019, 10:40:09 AM,
ARROW_CREATE,Water temperature::Concentration of Na+ and Cl- in water,-2::3,N/A,8/8/2019, 10:40:12 AM,
ARROW_CHANGE_LABEL,Water temperature::Concentration of Na+ and Cl- in water,-2::3,Cause: Energy to escape electric forces,8/8/2019, 10:40:14 AM,
ARROW_CREATE,Concentration of Na+ and Cl- in water::Amount crystal growth on string,3::-1,N/A,8/8/2019, 10:40:17 AM,
ARROW_CHANGE_LABEL,Concentration of Na+ and Cl- in water::Amount crystal growth on string,3::-1,Definition,8/8/2019, 10:40:19 AM,
NODE_CHANGE_DIRECTION,Concentration of Na+ and Cl- in water,3,decrease,8/8/2019, 10:40:20 AM,
